Index,Value
1077,151
1078,58
1079,0
1080,2
1081,1
1082,0
1083,2
1084,97
1085,0
1086,111
1087,152
1088,0
1089,176
1090,3
1091,85
1092,491
1093,1
1094,3
1095,54
1096,2
1097,138
1098,7
1099,0
1100,1
1101,157
1102,0
1103,17
1104,98
1105,1
1106,82
1107,0
1108,1
1109,155
1110,1
1111,1
1112,1
1113,0
1114,0
1115,173
1116,72
1117,2
1118,1
1119,22
1120,24
1121,36
1122,2
1123,12
1124,18
1125,8
1126,1
1127,1
1128,2
1129,2
1130,13
1131,18
1132,9
1133,11
1134,19
1135,2
1136,0
1137,15
1138,1
1139,2
1140,122
1141,137
1142,1
1143,2
1144,1
1145,0
1146,141
1147,1
1148,15
1149,0
1150,0
1151,1
1152,1
1153,60
1154,4
1155,0
1156,2
1157,1
1158,246
1159,0
1160,11
1161,88
1162,1
1163,59
1164,0
1165,1
1166,24
1167,8
1168,199
1169,6
1170,28
1171,0
1172,0
1173,1
1174,54
1175,1
1176,1
1177,37
1178,10
1179,1
1180,2
1181,6
1182,608
1183,2
1184,0
1185,1
1186,1
1187,0
1188,882
1189,1
1190,0
1191,0
1192,0
1193,2
1194,34
1195,7
1196,61
1197,4
1198,99
1199,1
1200,1
1201,0
1202,1
1203,158
1204,0
1205,0
1206,51
1207,0
1208,1
1209,0
1210,0
1211,0
1212,51
1213,1
1214,117
1215,5
1216,13
1217,22
1218,6
1219,3
1220,0
1221,3
1222,4
1223,11
1224,7
1225,27
1226,85
1227,4
1228,46
1229,898
1230,1
1231,1
1232,59
1233,0
1234,131
1235,0
1236,2
1237,139
1238,1
1239,9
1240,47
1241,1
1242,2
1243,0
1244,0
1245,4
1246,70
1247,147
1248,72
1249,39
1250,0
1251,2
1252,79
1253,196
1254,0
1255,6
1256,0
1257,0
1258,0
1259,92
1260,2
1261,1
1262,0
1263,3
1264,0
1265,16
1266,24
1267,26
1268,1
1269,8
1270,86
1271,3
1272,1
1273,0
1274,0
1275,0
1276,0
1277,1
1278,145
1279,0
1280,0
1281,157
1282,0
1283,0
1284,0
1285,0
1286,66
1287,0
1288,64
1289,1
1290,55
1291,0
1292,136
1293,0
1294,50
1295,0
1296,69
1297,0
1298,0
1299,1
1300,7
1301,53
1302,28
1303,2
1304,16
1305,16
1306,87
1307,1
1308,2
1309,1
1310,2
1311,0
1312,132
1313,1
1314,0
1315,0
1316,30
1317,32
1318,0
1319,1
1320,0
1321,2
1322,0
1323,1
1324,1
1325,0
1326,20
1327,47
1328,2
1329,1
1330,56
1331,3
1332,190
1333,0
1334,0
1335,0
1336,3
1337,1
1338,73
1339,12
1340,1
1341,119
1342,4
1343,12
1344,2
1345,2
1346,3
1347,67
1348,0
1349,15
1350,0
